,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),자산,부채,순자산액,가구원수,가구주 만나이,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,가구주 은퇴여부,입주형태,수도권여부,가구주 직업(대분류),가구주 종사상지위,부실가계
0,0,0.0,1,0.0,0,1.0,0,0.0,0,0,0,1,0,1,0,0,44460,18840.0,25620,6,56,0,1,1,1,0,1,0,1,1
1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,86485,7000.0,79485,2,64,1,0,0,0,0,1,0,0,0
2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,20350,0.0,20350,2,84,0,0,1,0,1,1,0,0,0
3,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,46498,10300.0,36198,4,57,0,0,1,1,1,1,0,1,0
4,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,158174,23900.0,134274,5,56,0,1,1,1,1,1,0,1,0
5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,76228,10000.0,66228,3,69,0,0,1,0,1,1,0,0,0
6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1200,900.0,300,3,66,0,0,1,1,0,0,1,0,0
7,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,1,1,0,0,66720,7520.0,59200,4,56,0,0,1,1,1,0,0,0,1
8,0,0.0,0,0.0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,9150,5500.0,3650,4,46,0,1,1,1,0,0,0,1,0
9,1,1.0,0,0.0,0,1.0,1,0.0,0,1,0,0,0,0,0,0,65438,15150.0,50288,4,50,0,1,1,1,1,0,0,1,0
