,부채,금융부채,담보대출,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_부채상환,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출용도_기타 용도 등,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),담보대출_대출기관_보험회사,담보대출_대출기관_기타 기관 등,담보대출_상환방법_만기일시,담보대출_상환방법_원금 분할 상환,담보대출_상환방법_원리금 분할 상환,담보대출_상환방법_원리금 분할 및 일부만기 상환,담보대출_상환방법_기타 상환방법,담보대출_담보형태_거주 주택,담보대출_담보형태_거주 주택 이외 부동산,담보대출_담보형태_예적금 보험 펀드 채권 등,"담보대출_담보형태_기타(전세권, 자동차 등)",부동산 담보대출,부동산 이외 담보대출,신용대출,신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_부채상환,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출용도_기타 용도 등,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출기관_보험회사,신용대출_대출기관_기타 기관 등,신용대출_상환방법_만기일시,신용대출_상환방법_원금 분할 상환,신용대출_상환방법_원리금 분할 상환,신용대출_상환방법_원리금 분할 및 일부만기 상환,신용대출_상환방법_기타 상환방법,신용대출_대출종류_신용대출,신용대출_대출종류_마이너스통장,신용카드 관련 대출,외상 및 할부미상환액,곗탄후 불입금액,개인 직장에서 빌린 돈_2017년 부터,임대보증금,원리금상환액,원금상환액,이자지급액,순자산액,경상소득(보완),근로소득(보완),사업소득(보완),재산소득(보완),공적 이전소득(보완),사적 이전소득(조사),이전소득(보완)[공적 이전소득(보완)+사적 이전소득(조사)],처분가능소득(보완)[경상소득(보완)-비소비지출(보완)],소비지출,식료품(외식비포함),주거비,교육비(보육료포함),의료비,교통비,통신비,기타 소비지출,"지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)",비소비지출(보완),세금(보완),공적연금·사회보험료(보완),가구간 이전지출(조사),비영리단체 이전지출(조사),연간지급이자(조사),여유자금 운용 계획,금융자산 투자 시 운용방법,금융자산 투자 시 고려사항,거주지 주택가격 전망,여유자금 부동산 투자 여부
0,54500.0,16000.0,10000.0,0,0.0,10000,0,0.0,0,0.0,10000.0,0,0.0,0,0,10000.0,0,0.0,0.0,0,0,0.0,0.0,10000,0.0,10000.0,6000.0,0,0.0,0,0,6000,0,0,6000.0,0,0,0,0,6000.0,0,0,0,0,6000.0,0,0,0,0,0,38500.0,560,0,560,57500.0,6593,6366,0,77,150,0,150,4599,2340,900,180,0,30,400,110,720,4334,1994,491,893,50,0,560,부동산 구입,은행 예금,안전성,상승할 것이다,예
1,17500.0,11500.0,9500.0,0,0.0,0,0,9500.0,0,0.0,9500.0,0,0.0,0,0,0.0,0,9500.0,0.0,0,0,9500.0,0.0,0,9500.0,0.0,2000.0,0,0.0,0,0,2000,0,0,0.0,2000,0,0,0,0.0,0,2000,0,0,2000.0,0,0,0,0,0,6000.0,5300,4800,500,25000.0,17720,14070,3650,0,0,0,0,15257,6580,1600,1800,500,100,240,480,1860,9043,2463,1413,550,0,0,500,부채 상환,은행 예금,현금화 가능성,하락할 것이다,예
6,8000.0,8000.0,3000.0,0,0.0,0,3000,0.0,0,0.0,0.0,0,3000.0,0,0,3000.0,0,0.0,0.0,0,3000,0.0,0.0,0,3000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,5000,0,0,0,0.0,850,800,50,-70.0,2808,2621,0,112,75,0,75,2443,894,360,60,0,25,96,72,281,1259,365,48,227,40,0,50,저축과 금융자산 투자,주식(직접투자),수익성,변화 없을 것이다,아니오
7,18000.0,18000.0,18000.0,0,0.0,0,0,18000.0,0,0.0,0.0,0,18000.0,0,0,0.0,0,18000.0,0.0,0,18000,0.0,0.0,0,18000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,680,0,680,9506.0,6428,6428,0,0,0,0,0,5071,2865,960,247,0,56,252,210,1140,4222,1357,70,489,45,73,680,부채 상환,은행 예금,현금화 가능성,변화 없을 것이다,아니오
8,800.0,800.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,800,0,0,0,0.0,1080,720,360,1360.0,7042,6258,496,1,167,120,287,5948,2089,480,504,0,700,120,180,105,3183,1094,81,653,0,0,360,부동산 구입,은행 예금,접근성(이용의 편리성),모르겠다,예
11,74700.0,74700.0,72000.0,0,0.0,0,0,72000.0,0,0.0,0.0,72000,0.0,0,0,72000.0,0,0.0,0.0,0,0,72000.0,0.0,0,72000.0,0.0,900.0,0,0.0,0,0,0,900,0,900.0,0,0,0,0,0.0,0,0,0,900,0.0,900,0,600,1200,0,0.0,562,0,562,30160.0,5977,2509,2209,1259,0,0,0,4153,2041,960,216,0,10,150,300,405,3865,1824,302,960,0,0,562,부채 상환,저축은행 예금,안전성,변화 없을 것이다,아니오
13,1500.0,1500.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,400.0,0,0.0,0,0,0,400,0,0.0,400,0,0,0,0.0,0,400,0,0,400.0,0,1100,0,0,0,0.0,783,596,187,3866.0,5461,5333,0,27,101,0,101,4694,2740,960,240,0,780,240,240,280,3507,767,48,382,150,0,187,부채 상환,저축은행 예금,안전성,모르겠다,예
14,13000.0,13000.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,13000.0,0,0.0,13000,0,0,0,0,13000.0,0,0,0,0,13000.0,0,0,0,0,13000.0,0,0,0,0,0,0.0,32,0,32,8035.0,7963,7932,15,16,0,0,0,6873,2280,900,300,0,50,300,180,550,3370,1090,372,636,50,0,32,부동산 구입,은행 예금,안전성,상승할 것이다,예
15,200.0,200.0,200.0,0,0.0,200,0,0.0,0,0.0,200.0,0,0.0,0,0,0.0,0,200.0,0.0,0,0,0.0,200.0,0,0.0,200.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,1880,1800,80,19850.0,5603,5601,0,2,0,0,0,4782,1800,750,200,0,50,50,180,570,2621,821,285,436,20,0,80,부동산 구입,저축은행 예금,안전성,변화 없을 것이다,예
18,12000.0,12000.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,12000.0,0,12000.0,0,0,0,0,0,0.0,12000,0,0,0,12000.0,0,0,0,0,12000.0,0,0,0,0,0,0.0,0,0,0,2760.0,8590,8556,32,2,0,0,0,7470,4190,840,900,0,500,600,350,1000,5310,1120,165,775,180,0,0,부동산 구입,은행 예금,안전성,상승할 것이다,예
